question,answer,table,Wikipedia URL,Wikipedia page title,Wikipedia section title
What TV shows was Shagun Sharma seen in 2019?,"In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.","[[""Year"", ""Title"", ""Role"", ""Channel""], [""2015"", ""Kuch Toh Hai Tere Mere Darmiyaan"", ""Sanjana Kapoor"", ""Star Plus""], [""2016"", ""Kuch Rang Pyar Ke Aise Bhi"", ""Khushi"", ""Sony TV""], [""2016"", ""Gangaa"", ""Aashi Jhaa"", ""&TV""], [""2017"", ""Iss Pyaar Ko Kya Naam Doon 3"", ""Meghna Narayan Vashishth"", ""Star Plus""], [""2017–18"", ""Tu Aashiqui"", ""Richa Dhanrajgir"", ""Colors TV""], [""2019"", ""Laal Ishq"", ""Pernia"", ""&TV""], [""2019"", ""Vikram Betaal Ki Rahasya Gatha"", ""Rukmani/Kashi"", ""&TV""], [""2019"", ""Shaadi Ke Siyape"", ""Dua"", ""&TV""]]",http://en.wikipedia.org/wiki/Shagun_Sharma,Shagun Sharma,Television
What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.","[[""Party"", ""Votes"", ""%"", ""Seats""], [""Vietnamese Fatherland Front"", ""10,561,314"", ""100"", ""424""], [""Invalid/blank votes"", ""105,807"", ""–"", ""–""], [""Total"", ""10,667,121"", ""100"", ""424""], [""Source: IPU"", ""Source: IPU"", ""Source: IPU"", ""Source: IPU""]]",http://en.wikipedia.org/wiki/1975_North_Vietnamese_legislative_election,1975 North Vietnamese legislative election,Results
What roles did Christian Cooke play in 2009?,"During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.","[[""Title"", ""Year"", ""Role"", ""Notes""], [""Wilmot"", ""1999"", ""Wilmot Tanner"", ""Main role""], [""Where the Heart Is"", ""2000–06"", ""Luke Kirkwall"", ""68 episodes""], [""Casualty"", ""2002"", ""Mark Booth"", ""\""Only The Lonely\""""], [""Barking!"", ""2004"", ""Ryan"", ""\""The Big Sausage\""""], [""Doctors"", ""2006"", ""Gary"", ""\""Positively Blooming\""""], [""Casualty"", ""2006"", ""Jude Becket"", ""\""Sons & Lovers\""""], [""Inspector George Gently"", ""2007"", ""Billy Lister"", ""\""Gently Go Man\""""], [""The Chase"", ""2007"", ""Liam Higgins"", ""9 episodes""], [""The Royal"", ""2007"", ""Bobby Horrocks"", ""\""Starting Over\""""], [""Robin Hood"", ""2007"", ""Luke Scarlett"", ""\""The Angel of Death\""""], [""Echo Beach"", ""2008"", ""Brae Marrack"", ""Main role""], [""Moving Wallpaper"", ""2008"", ""Himself"", ""3 episodes""], [""Moving Wallpaper: The Mole"", ""2008"", ""Himself"", ""Webisode; Episode 1.4""], [""Doctor Who"", ""2008"", ""Ross Jenkins"", ""\""The Sontaran Stratagem\"", \""The Poison Sky\""""], [""Demons"", ""2009"", ""Luke Rutherford-Van Helsing"", ""Main role""], [""Trinity"", ""2009"", ""Lord Dorian Gaudain"", ""Main role""], [""Dark Relic"", ""2010"", ""Paul"", ""Television film""], [""The Promise"", ""2011"", ""Sergeant Leonard Matthews"", ""Miniseries""], [""Magic City"", ""2012–13"", ""Danny Evans"", ""Main role""], [""Witches of East End"", ""2014"", ""Frederick Beauchamp"", ""Main role; Season 2""], [""Stonemouth"", ""2015"", ""Stewart Gilmour"", ""Main role""], [""The Art of More"", ""2015–16"", ""Graham Connor"", ""Main role""], [""Ordeal by Innocence"", ""2018"", ""Mickey Argyll"", ""BBC Television film (Replacing Ed Westwick)""]]",http://en.wikipedia.org/wiki/Christian_Cooke,Christian Cooke,Television
"Which track has the lowest bpm, and which has the highest on the Speed SFX series?","The Speed SFX's lowest bpm is 175 on tracks #5–16, and the highest bpm is 195 on #20 in the Speed series.","[[""#"", ""Track"", ""Film"", ""BPM"", ""Ref""], [""1"", ""Star Wars Main Title"", ""Star Wars"", ""180"", ""-""], [""2"", ""The Terminator"", ""The Terminator"", ""185"", ""-""], [""3"", ""Theme From E.T."", ""E.T."", ""180"", ""-""], [""4"", ""Prologue"", ""Harry Potter and the Philosopher's Stone"", ""180"", ""-""], [""5"", ""Rhythm & Police (K.O.G G3 Mix)"", ""Bayside Shakedown"", ""175"", ""-""], [""6"", ""007"", ""007"", ""175"", ""-""], [""7"", ""Feel Good Time"", ""Charlie's Angels: Full Throttle"", ""175"", ""-""], [""8"", ""Men In Black"", ""Men in Black"", ""175"", ""-""], [""9"", ""Ghostbusters"", ""Ghostbusters"", ""175"", ""-""], [""10"", ""The Power Of Love"", ""Back to the Future"", ""175"", ""-""], [""11"", ""Unchained Melody"", ""Ghost"", ""175"", ""-""], [""12"", ""May It Be"", ""The Lord of the Rings"", ""175"", ""-""], [""13"", ""I Don't Wanna Miss A Thing (Planet Lution Mix)"", ""Armageddon"", ""175"", ""-""], [""14"", ""My Heart Will Go On (KCP Remix)"", ""Titanic"", ""175"", ""-""], [""15"", ""Never Ending Story"", ""The NeverEnding Story"", ""175"", ""-""], [""16"", ""The Raiders March"", ""Raiders of the Lost Ark"", ""175"", ""-""], [""17"", ""Main Title"", ""The Matrix Reloaded"", ""181"", ""-""], [""18"", ""Theme From Jaws"", ""Jaws"", ""184"", ""-""], [""19"", ""Also Sprach Zarathustra"", ""2001: A Space Odyssey"", ""186"", ""-""], [""20"", ""Mission: Impossible Theme"", ""Mission: Impossible"", ""195"", ""-""]]",http://en.wikipedia.org/wiki/Speed_SFX,Speed SFX,Further details
When and in which club and league did Kazunari Okayama start his career?,Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,"[[""Season"", ""Club"", ""League"", ""League"", ""League"", ""Emperor's Cup"", ""Emperor's Cup"", ""J.League Cup"", ""J.League Cup"", ""Total"", ""Total""], [""Season"", ""Club"", ""Division"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals""], [""1997"", ""Yokohama Marinos"", ""J1 League"", ""8"", ""3"", ""2"", ""1"", ""0"", ""0"", ""10"", ""4""], [""1998"", ""Yokohama Marinos"", ""J1 League"", ""5"", ""0"", ""0"", ""0"", ""4"", ""2"", ""9"", ""2""], [""1999"", ""Yokohama F. Marinos"", ""J1 League"", ""4"", ""0"", ""0"", ""0"", ""0"", ""0"", ""4"", ""0""], [""1999"", ""Omiya Ardija"", ""J2 League"", ""6"", ""1"", ""2"", ""2"", ""0"", ""0"", ""8"", ""3""], [""2000"", ""Yokohama F. Marinos"", ""J1 League"", ""13"", ""0"", ""1"", ""0"", ""1"", ""0"", ""15"", ""0""], [""2001"", ""Cerezo Osaka"", ""J1 League"", ""28"", ""3"", ""4"", ""0"", ""2"", ""0"", ""34"", ""3""], [""2002"", ""Kawasaki Frontale"", ""J2 League"", ""37"", ""1"", ""5"", ""1"", ""-"", ""-"", ""42"", ""2""], [""2003"", ""Kawasaki Frontale"", ""J2 League"", ""34"", ""2"", ""1"", ""0"", ""-"", ""-"", ""35"", ""2""], [""2004"", ""Kawasaki Frontale"", ""J2 League"", ""2"", ""0"", ""0"", ""0"", ""-"", ""-"", ""2"", ""0""], [""2005"", ""Avispa Fukuoka"", ""J2 League"", ""34"", ""0"", ""1"", ""0"", ""-"", ""-"", ""35"", ""0""], [""2006"", ""Kashiwa Reysol"", ""J2 League"", ""45"", ""10"", ""0"", ""0"", ""-"", ""-"", ""45"", ""10""], [""2007"", ""Kashiwa Reysol"", ""J1 League"", ""1"", ""0"", ""0"", ""0"", ""3"", ""0"", ""4"", ""0""], [""2007"", ""Vegalta Sendai"", ""J2 League"", ""18"", ""2"", ""0"", ""0"", ""-"", ""-"", ""18"", ""2""], [""2008"", ""Vegalta Sendai"", ""J2 League"", ""33"", ""4"", ""0"", ""0"", ""-"", ""-"", ""33"", ""4""], [""2011"", ""Consadole Sapporo"", ""J2 League"", ""5"", ""0"", ""1"", ""0"", ""-"", ""-"", ""6"", ""0""], [""2012"", ""Consadole Sapporo"", ""J1 League"", ""5"", ""0"", ""1"", ""0"", ""2"", ""0"", ""8"", ""0""], [""2013"", ""Nara Club"", ""Regional Leagues"", ""3"", ""0"", ""2"", ""1"", ""-"", ""-"", ""5"", ""1""], [""2014"", ""Nara Club"", ""Regional Leagues"", ""8"", ""0"", ""2"", ""1"", ""-"", ""-"", ""10"", ""1""], [""2015"", ""Nara Club"", ""Football League"", ""15"", ""0"", ""0"", ""0"", ""-"", ""-"", ""15"", ""0""], [""2016"", ""Nara Club"", ""Football League"", ""5"", ""0"", ""1"", ""0"", ""-"", ""-"", ""6"", ""0""], [""2017"", ""Nara Club"", ""Football League"", ""13"", ""1"", ""1"", ""0"", ""-"", ""-"", ""14"", ""1""], [""Total"", ""Total"", ""Total"", ""322"", ""27"", ""24"", ""6"", ""12"", ""2"", ""358"", ""35""]]",http://en.wikipedia.org/wiki/Kazunari_Okayama,Kazunari Okayama,Club statistics
How much overall damage did the German submarine U-438 cause?,"The U-438 sank three ships, totalling 12,045 gross register tons (GRT) and damaged one ship totalling 5,496 GRT.","[[""Date"", ""Name"", ""Nationality"", ""Tonnage (GRT)"", ""Fate""], [""10 August 1942"", ""Condylis"", ""Greece"", ""4,439"", ""Sunk""], [""10 August 1942"", ""Oregon"", ""United Kingdom"", ""6,008"", ""Sunk""], [""25 August 1942"", ""Trolla"", ""Norway"", ""1,598"", ""Sunk""], [""2 November 1942"", ""Hartington"", ""United Kingdom"", ""5,496"", ""Damaged""]]",http://en.wikipedia.org/wiki/German_submarine_U-438,German submarine U-438,Summary of raiding history
Who set the fastest average in Megaminx?,The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,"[[""Name"", ""Fastest average"", ""Competition""], [""Yu Da-Hyun (유다현)"", ""32.03s"", ""CWR Winter 2018""], [""Juan Pablo Huanqui"", ""32.33s"", ""CubingUSA Nationals 2018""], [""Amos Nordman"", ""34.63s"", ""Pikkujoulut 2018""], [""Nicolas Naing"", ""35.02s"", ""New Hope Open Spring 2018""], [""Feliks Zemdegs"", ""36.65s"", ""Weston-super-Mare Open 2018""]]",http://en.wikipedia.org/wiki/Megaminx,Megaminx,Top 5 solvers by average of 5 solves
What seasons did Faye appear for Hull City?,Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,"[[""Club"", ""Season"", ""League"", ""League"", ""League"", ""FA Cup"", ""FA Cup"", ""League Cup"", ""League Cup"", ""Europe"", ""Europe"", ""Total"", ""Total""], [""Club"", ""Season"", ""Division"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals""], [""ASEC Ndiambour"", ""1999–2000"", ""Senegal Premier League"", ""-"", ""-"", ""-"", ""-"", ""—"", ""—"", ""-"", ""-"", ""-"", ""-""], [""ASEC Ndiambour"", ""2000–01"", ""Senegal Premier League"", ""-"", ""-"", ""-"", ""-"", ""—"", ""—"", ""-"", ""-"", ""-"", ""-""], [""ASEC Ndiambour"", ""Total"", ""Total"", ""59"", ""8"", ""-"", ""-"", ""—"", ""—"", ""59"", ""8"", ""-"", ""-""], [""Jeanne d'Arc"", ""2001–02"", ""Senegal Premier League"", ""32"", ""4"", ""-"", ""-"", ""—"", ""—"", ""32"", ""4"", ""-"", ""-""], [""Jeanne d'Arc"", ""Total"", ""Total"", ""32"", ""4"", ""-"", ""-"", ""—"", ""—"", ""32"", ""4"", ""-"", ""-""], [""RC Lens"", ""2002–03"", ""Ligue 1"", ""17"", ""0"", ""1"", ""0"", ""0"", ""0"", ""6"", ""0"", ""24"", ""0""], [""RC Lens"", ""2003–04"", ""Ligue 1"", ""18"", ""0"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""19"", ""0""], [""RC Lens"", ""Total"", ""Total"", ""35"", ""0"", ""2"", ""0"", ""0"", ""0"", ""6"", ""0"", ""43"", ""0""], [""Istres (loan)"", ""2004–05"", ""Ligue 1"", ""28"", ""0"", ""0"", ""0"", ""0"", ""0"", ""—"", ""—"", ""28"", ""0""], [""Istres (loan)"", ""Total"", ""Total"", ""28"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""28"", ""0""], [""Bolton Wanderers"", ""2005–06"", ""Premier League"", ""27"", ""1"", ""1"", ""0"", ""2"", ""0"", ""7"", ""0"", ""37"", ""1""], [""Bolton Wanderers"", ""2006–07"", ""Premier League"", ""32"", ""2"", ""2"", ""0"", ""0"", ""0"", ""—"", ""—"", ""34"", ""2""], [""Bolton Wanderers"", ""2007–08"", ""Premier League"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""—"", ""—"", ""1"", ""0""], [""Bolton Wanderers"", ""Total"", ""Total"", ""60"", ""3"", ""3"", ""0"", ""2"", ""0"", ""7"", ""0"", ""72"", ""3""], [""Newcastle United"", ""2007–08"", ""Premier League"", ""22"", ""1"", ""1"", ""0"", ""1"", ""0"", ""—"", ""—"", ""24"", ""1""], [""Newcastle United"", ""Total"", ""Total"", ""22"", ""1"", ""1"", ""0"", ""1"", ""0"", ""0"", ""0"", ""24"", ""1""], [""Stoke City"", ""2008–09"", ""Premier League"", ""36"", ""3"", ""0"", ""0"", ""0"", ""0"", ""—"", ""—"", ""36"", ""3""], [""Stoke City"", ""2009–10"", ""Premier League"", ""31"", ""2"", ""1"", ""0"", ""0"", ""0"", ""—"", ""—"", ""32"", ""2""], [""Stoke City"", ""2010–11"", ""Premier League"", ""14"", ""1"", ""2"", ""0"", ""0"", ""0"", ""—"", ""—"", ""16"", ""1""], [""Stoke City"", ""Total"", ""Total"", ""81"", ""6"", ""3"", ""0"", ""0"", ""0"", ""0"", ""0"", ""84"", ""6""], [""West Ham United"", ""2011–12"", ""Championship"", ""29"", ""0"", ""0"", ""0"", ""0"", ""0"", ""—"", ""—"", ""29"", ""0""], [""West Ham United"", ""Total"", ""Total"", ""29"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""29"", ""0""], [""Hull City"", ""2012–13"", ""Championship"", ""31"", ""4"", ""0"", ""0"", ""2"", ""0"", ""—"", ""—"", ""33"", ""4""], [""Hull City"", ""2013–14"", ""Premier League"", ""3"", ""0"", ""3"", ""0"", ""1"", ""0"", ""—"", ""—"", ""7"", ""0""], [""Hull City"", ""Total"", ""Total"", ""34"", ""4"", ""3"", ""0"", ""3"", ""0"", ""0"", ""0"", ""40"", ""4""], [""Career total"", ""Career total"", ""Career total"", ""380"", ""26"", ""12"", ""0"", ""6"", ""0"", ""13"", ""0"", ""411"", ""26""]]",http://en.wikipedia.org/wiki/Abdoulaye_Faye,Abdoulaye Faye,Club
Which isotope has been reported?,Sixteen different isotopes have been reported with atomic masses from 253 to 270 (with the exceptions of 264 and 269).,"[[""Isotope"", ""Half-life"", ""Decay mode"", ""Discovery year"", ""Reaction""], [""253Rf"", ""48 μs"", ""α, SF"", ""1994"", ""204Pb(50Ti,n)""], [""254Rf"", ""23 μs"", ""SF"", ""1994"", ""206Pb(50Ti,2n)""], [""255Rf"", ""2.3 s"", ""ε?, α, SF"", ""1974"", ""207Pb(50Ti,2n)""], [""256Rf"", ""6.4 ms"", ""α, SF"", ""1974"", ""208Pb(50Ti,2n)""], [""257Rf"", ""4.7 s"", ""ε, α, SF"", ""1969"", ""249Cf(12C,4n)""], [""257mRf"", ""4.1 s"", ""ε, α, SF"", ""1969"", ""249Cf(12C,4n)""], [""258Rf"", ""14.7 ms"", ""α, SF"", ""1969"", ""249Cf(13C,4n)""], [""259Rf"", ""3.2 s"", ""α, SF"", ""1969"", ""249Cf(13C,3n)""], [""259mRf"", ""2.5 s"", ""ε"", ""1969"", ""249Cf(13C,3n)""], [""260Rf"", ""21 ms"", ""α, SF"", ""1969"", ""248Cm(16O,4n)""], [""261Rf"", ""78 s"", ""α, SF"", ""1970"", ""248Cm(18O,5n)""], [""261mRf"", ""4 s"", ""ε, α, SF"", ""2001"", ""244Pu(22Ne,5n)""], [""262Rf"", ""2.3 s"", ""α, SF"", ""1996"", ""244Pu(22Ne,4n)""], [""263Rf"", ""15 min"", ""α, SF"", ""1999"", ""263Db( e−, ν e)""], [""263mRf ?"", ""8 s"", ""α, SF"", ""1999"", ""263Db( e−, ν e)""], [""265Rf"", ""1.1 min"", ""SF"", ""2010"", ""269Sg(—,α)""], [""266Rf"", ""23 s?"", ""SF"", ""2007?"", ""266Db( e−, ν e)?""], [""267Rf"", ""1.3 h"", ""SF"", ""2004"", ""271Sg(—,α)""], [""268Rf"", ""1.4 s?"", ""SF"", ""2004?"", ""268Db( e−, ν e)?""], [""270Rf"", ""20 ms?"", ""SF"", ""2010?"", ""270Db( e−, ν e)?""]]",http://en.wikipedia.org/wiki/Rutherfordium,Rutherfordium,Isotopes
Who's the winner of the championship and who is in the second place?,"Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.","[[""Place"", ""Player"", ""Country"", ""Score""], [""1"", ""Walter Hagen"", ""United States"", ""76-73=149""], [""T2"", ""Jim Barnes"", ""England"", ""75-76=151""], [""T2"", ""George Duncan"", ""Scotland"", ""76-75=151""], [""T2"", ""J.H. Taylor"", ""England"", ""73-78=151""], [""T5"", ""Percy Alliss"", ""England"", ""75-78=153""], [""T5"", ""Jean Gassiat"", ""France"", ""75-78=153""], [""T5"", ""Jock Hutchison"", ""Scotland United States"", ""79-74=153""], [""T5"", ""Tom Walton"", ""England"", ""75-78=153""], [""T9"", ""Charles Johns"", ""England"", ""78-76=154""], [""T9"", ""Roger Wethered (a)"", ""England"", ""76-78=154""]]",http://en.wikipedia.org/wiki/1922_Open_Championship,1922 Open Championship,Second round
